target,f1,mcc,true_positives,false_positives,false_negatives,total_rows
1R8U_6268,0.575,0.18863636363636363,23,17,17,84
1WA7_6261,0.4827586206896552,0.32324284925164637,7,6,9,60
2G35_15792,0.1702127659574468,0.042021536303409386,4,4,35,90
2I94_5332,0.21686746987951808,0.03412618163949675,9,11,54,155
2JMF_6262,0.0,-0.227429413073671,0,7,6,35
2K7A_5461,0.4166666666666667,0.3466957550253916,5,9,5,101
2K8F_34231,0.2,-0.046188775643785596,4,12,20,82
2KYL_15972,0.4528301886792453,0.2786457154387692,12,6,23,88
2L3R_30703,0.3055555555555556,0.18452011399700155,11,5,45,125
2LGG_17813,0.44,0.061770776388425104,11,17,11,61
2LGK_17813,0.5217391304347826,0.24110987389956892,12,12,10,62
2LSK_18455,0.48484848484848486,0.42950595799107133,8,2,15,81
2LVO_18581,0.56,0.3996181548137159,7,4,7,45
2LXS_6095,0.3181818181818182,0.16706533718710542,7,5,25,83
2MC6_19428,0.5,0.36302313423950167,10,2,18,59
2MOW_17173,0.4666666666666667,0.47424573751577004,7,1,15,113
2N1G_18455,0.5128205128205128,0.4075557568177074,10,4,15,84
2N8T_25866,0.6086956521739131,0.36720990919214974,7,3,6,29
2N9P_25913,0.72,0.5659258954891203,9,4,3,35
2NCZ_15125,0.42857142857142855,0.29939973031244743,6,9,7,75
2ND1_15125,0.10526315789473684,0.00566098198123625,1,13,4,73
2OJ2_4122,0.5142857142857142,0.44133141796081415,9,1,16,61
2PLD_5318,0.5714285714285714,0.4879349620975666,10,5,10,98
2YS5_11095,0.2857142857142857,0.1745194265885647,5,18,7,107
5J8H_51289,0.4329896907216495,0.16380577774133465,21,19,36,144
5VF0_17769,0.3076923076923077,0.2676516895156554,6,1,26,70
6QXZ_27250,0.49122807017543857,0.1914918544681912,14,10,19,74
6U19_16620,0.45714285714285713,0.24459979523511424,8,5,14,55
7JYN_30782,0.5106382978723404,0.39745458766220243,12,3,20,82
8SG2_27579,0.3953488372093023,0.16125699505350585,17,21,31,151
9C5E_18642,0.2631578947368421,-0.12710807442894417,5,19,9,52
9C5E_6457,0.3333333333333333,0.2830692585361489,2,2,6,56
